Step,Res_BundleA,Res_BundleB,Res_BundleC,SME,PUE
1,0.002224514,0,0,0,0
2,0.002477127,0,0,0,0
3,0.002451624,0,0,0,0
4,0.004020527,0,0,0,0
5,0.004739032,0,0,0,0
6,0.002595272,0,0,0,0
7,0.000997899,0,0,0,0
8,0.000253209,0,0,0,0
9,0.020071222,0,0,0,0
10,0.00050847,0,0,0,0
11,0.000851248,0,0,0,0
12,2.20E-05,0,0,0,0
13,0.000196229,0,0,0,0
14,0.059395197,0,0,0,0
15,0,0,0,0,0
16,0.000571423,0,0,0,0
17,0.000241038,0,0,0,0
18,0.031441229,0,0,0,0
19,0.055786736,0,0,0,0
20,0.046241755,0,0,0,0
21,0.047892337,0,0,0,0
22,0.039629577,0,0,0,0
23,0.013223305,0,0,0,0
24,0.017990576,0,0,0,0
25,0.004471582,0,0,0,0
26,0.004635204,0,0,0,0
27,0.004510685,0,0,0,0
28,0.036327341,0,0,0,0
29,0.037632677,0,0,0,0
30,0.016123325,0,0,0,0
31,0.020162899,0,0,0,0
32,0.023079165,0,0,0,0
33,0.049337039,0,0,0,0
34,0.016866204,0,0,0,0
35,0.018848587,0,0,0,0
36,0.039373086,0,0,0,0
37,0.003322093,0,0,0,0
38,0.054426308,0,0,0,0
39,0.007756231,0,0,0,0
40,0.004114452,0,0,0,0
41,0.019659847,0,0,0,0
42,0.000303946,0,0,0,0
43,0.048762857,0,0,0,0
44,0.001724314,0,0,0,0
45,0.021579868,0,0,0,0
46,0.018470665,0,0,0,0
47,0.016403834,0,0,0,0
48,0.007679672,0,0,0,0
49,0.000565649,0,0,0,0
50,0.005358916,0,0,0,0
51,0.005198756,0,0,0,0
52,0.028552575,0,0,0,0
53,0.011176862,0,0,0,0
54,0.037798088,0,0,0,0
55,9.99E-05,0,0,0,0
56,0.00158479,0,0,0,0
57,0.055345068,0,0,0,0
58,0.000776466,0,0,0,0
59,0.000811145,0,0,0,0
60,0.016222979,0,0,0,0
61,0.014981832,0,0,0,0
62,0.021462037,0,0,0,0
63,0.013435506,0,0,0,0
64,0.002431757,0,0,0,0
65,0.002343382,0,0,0,0
66,0.000420804,0,0,0,0
67,0.002360199,0,0,0,0
68,0.001390995,0,0,0,0
69,0.001757573,0,0,0,0
70,0.001014998,0,0,0,0
71,0.04409624,0,0,0,0
72,0.019646325,0,0,0,0
73,0.004937372,0,0,0,0
74,0.005083216,0,0,0,0
75,0.000411555,0,0,0,0
76,0.024105449,0,0,0,0
77,0.002684499,0,0,0,0
78,0.002626469,0,0,0,0
79,0.00122846,0,0,0,0
80,0.002542103,0,0,0,0
81,0.039269862,0,0,0,0
82,0.021472259,0,0,0,0
83,0.022334261,0,0,0,0
84,0.002390523,0,0,0,0
85,0.040067617,0,0,0,0
86,0.055453219,0,0,0,0
87,0.004244495,0,0,0,0
88,0.050993166,0,0,0,0
89,0.04905944,0,0,0,0
90,0.005157622,0,0,0,0
91,0.001443612,0,0,0,0
92,4.63E-05,0,0,0,0
93,0.001677011,0,0,0,0
94,0.00438967,0,0,0,0
95,0.048512291,0,0,0,0
96,0.018169465,0,0,0,0
97,0.004456056,0,0,0,0
98,0.004652435,0,0,0,0
99,0.004082552,0,0,0,0
100,0.074733966,0,0,0,0
101,9.10E-06,0,0,0,0
102,2.95E-06,0,0,0,0
103,0.037872894,0,0,0,0
104,0.002830959,0,0,0,0
105,0.040504248,0,0,0,0
106,0.00021714,0,0,0,0
107,0.001990066,0,0,0,0
108,0.003266227,0,0,0,0
109,0.001770992,0,0,0,0
110,0.048454483,0,0,0,0
111,0.022858913,0,0,0,0
112,0.014142822,0,0,0,0
113,0.042580207,0,0,0,0
114,0.003597204,0,0,0,0
115,0.001839279,0,0,0,0
116,0.052178642,0,0,0,0
117,0.001237881,0,0,0,0
118,0.004573928,0,0,0,0
119,0.0428956,0,0,0,0
120,0.020737788,0,0,0,0
121,0.000662132,0,0,0,0
122,0.001138815,0,0,0,0
123,0.001364138,0,0,0,0
124,0.009562815,0,0,0,0
125,0.006287835,0,0,0,0
126,0.001537989,0,0,0,0
127,0.026397522,0,0,0,0
128,0.002829073,0,0,0,0
129,0.003849233,0,0,0,0
130,0.006538051,0,0,0,0
131,0.004487258,0,0,0,0
132,0.00414878,0,0,0,0
133,0.002018485,0,0,0,0
134,0.01015563,0,0,0,0
135,0.007644203,0,0,0,0
136,0.000110406,0,0,0,0
137,3.29E-05,0,0,0,0
