Lat,Lon,Site Name,Country,VIDA_ID,Province,District,Ratio of built-up area,Number of buildings,Number of large buildings,Number of medium buildings,Number of small buildings,Number of very small structures,Population sum,Population estimate,Customer density,Distance to the road [km],Distance to nearest hub [km],Nearest regional hub,Distance to railway [km],Healthcare facilities,Education facilities,Average relative wealth index,Total points of interest,Top five dominant crops,Total crop value [$/year],Total crop yield [kg/ha],Total crop value per hectare [$/ha],Percentage of nightlight overlap [%],Has nightlight?,Distance to the nightlight [km],Distance to nearest hydropower source [km],Distance to nearest transformer [km],Distance to nearest substation [km],Distance to nearest HV lines [km],Distance to nearest MV lines [km],Potential number of connections,Estimated energy demand [kWh/day],Average demand per connection [kWh/day],Length of minimum spanning tree [km],Total cost for minimum spanning tree [$],Potential PV production [kWh/kWp],Distance to nearest solar mill [Km],Distance to nearest mini-grid site [Km],Mini-grid site status,"Fatalities within 50 km (battles,riots,violence against civilians,explosions)","Fatalities within 25 km (battles,riots,violence against civilians,explosions)",Total number of incidents within 25km,Security risk,Travelhours,GHI,geometry,mg_id,avg_diesel_price,MG_diesel_cost,VIDA_Conn_All,VIDA_Pot_Con,PUoE,SME,ResC,ResB,ResA,hybrids,HGM_lcoe,HMG_Inv,HMG_GenOpex,HMG_GenOpex_y,HMG_SGnAOpex,HMG_SGnAOpex_y,HMG_npv_cost,HMG_cap,HMG_ren_cap,HMG_dl_cap,HMG_ren_share,HMG_bat_size,HMG_fuel_usage,Est_dem_kWh_year,No_of_poles,Poles_CAPEX,Cable_CAPEX,Dist_CAPEX,TdxLC,PSLC,Transp_of_mat,LogInstCAPEX,Conn_CAPEX,Tot_CAPEX,ResAConskWh_y,ResBConskWh_y,ResCConskWh_y,ResSMEConskWh_y,ResPUoEConskWh_y,ResARev_y,ResBRev_y,ResCRev_y,ResSMERev_y,ResPUoERev_y,ResARev_y2,ResBRev_y2,ResCRev_y2,ResSMERev_y2,ResPUoERev_y2,gen_opex_y2,sgna_opex_y2,TotalRev2,TotalOpex2,CAPEX_GAP2,CAPEX_subsidy2,Total_subsidy2,ResARev_y5,ResBRev_y5,ResCRev_y5,ResSMERev_y5,ResPUoERev_y5,gen_opex_y5,sgna_opex_y5,TotalRev5,TotalOpex5,CAPEX_GAP5,CAPEX_subsidy5,Total_subsidy5,ResARev_y7,ResBRev_y7,ResCRev_y7,ResSMERev_y7,ResPUoERev_y7,gen_opex_y7,sgna_opex_y7,TotalRev7,TotalOpex7,CAPEX_GAP7,CAPEX_subsidy7,Total_subsidy7
-9.890334975,31.25098084,Nseluka,Zambia,24447,Northern,Mungwi,0.01,332,0,1,331,81,827,676,0.01,0,36.732,Kasama,4.388,0,0,-0.11,0,,,,,63.122,Yes,0,1.811,12.163,12.174,0,11.289,332,72.477,0.218,10.911,205490.9,4.53,0,27.81,Construction license,"0,2,0,0","0,1,0,0",1,high,0.386624717,2032.684937,POINT (31.250980841967 -9.890334975346599),1,1,1.010995814,413,290,0,24,24,105,137,"[0.8836, 85942.27, 2152.33, 434.7, 41889.2, 5220.0, 130683.84, 17.33, 16.43, 0.896, 0.987, 57.68, 86.29, 21053.24]",0.8836,85942.27,2152.33,434.7,41889.2,5220,130683.84,17.33,16.43,0.896,0.987,57.68,86.29,21053.24,273,77040.6,21822,98862.6,16380,1733,7830,25943,50170,260917.87,3950.39495,7166.775039,4047.120009,5888.946052,0,5728.072678,8385.126795,2671.099206,3827.814933,0,11782.6455,17248.20582,5494.451067,7873.815318,0,894.1779,10737.54,42399.1177,11631.7179,218518.7523,753.512939,793.622311,30358.78519,44441.17201,14156.82579,20287.41915,0,2303.91,27666,109244.2021,29969.91,151673.6679,523.0126478,626.357165,43367.23824,63483.79497,20222.89209,28980.38686,0,3291.1137,39520.62,156054.3122,42811.7337,104863.5578,361.5984753,509.2251433
-14.48675335,30.86677048,,Zambia,16849,Eastern,Nyimba,0.02,164,0,0,164,41,545,334,0.02,0,9.313,Nyimba,156.799,0,0,-0.78,0,"maize, groundnut, sunflower, cotton, tropical_fruit",157913,14940,304,0,No,0.729,0.792,2.098,8.939,58.737,0.013,164,35.588,0.217,4.157,87331.5,4.23,6.9,10.15,Reserved,"0,0,0,0","0,0,0,0",0,low,2.183017147,1908.004578,POINT (30.8667704798201 -14.4867533516971),2,1,1.062086176,205,144,0,12,12,52,68,"[0.8907, 43421.15, 1119.48, 216.39, 20800.16, 2592.0, 65559.94, 9.22, 8.92, 0.297, 0.993, 28.71, 25.71, 10478.07]",0.8907,43421.15,1119.48,216.39,20800.16,2592,65559.94,9.22,8.92,0.297,0.993,28.71,25.71,10478.07,104,29348.8,8314,37662.8,6240,922,3888,11050,24912,117045.95,1960.779975,3549.260019,2023.560004,2944.473026,0,2843.130964,4152.634222,1335.549603,1913.907467,0,5848.320393,8541.968595,2747.225533,3936.907659,0,445.11423,5331.744,21074.42218,5776.85823,95971.52782,666.4689432,706.5860142,15068.59411,22008.96138,7078.412896,10143.70957,0,1146.867,13737.6,54299.67796,14884.467,62746.27204,435.7380003,539.1023545,21525.34453,31439.5937,10111.44604,14490.19343,0,1638.28869,19624.032,77566.5777,21262.32069,39479.3723,274.1623076,421.8173124
-13.49511162,25.90390279,,Zambia,5542,North-Western,Kasempa,0.02,283,3,2,278,113,392,576,0.02,0,8.375,Kasempa,235.909,0,0,-0.32,0,"maize, sorghum, soybean, groundnut, other_pulses",32432,22994,332,0,No,2.48,0.114,0,7.525,0.443,0,283,64.926,0.229,8.393,164718.9,4.52,2.89,47.53,Reserved,"0,0,0,0","0,0,0,0",0,low,3.221642271,2007.90774,POINT (25.9039027859937 -13.49511162253),3,1,1.091625231,396,278,1,23,23,100,131,"[0.7945, 90427.29, 2691.74, 419.29, 40155.86, 5004.0, 133274.88, 23.05, 23.05, 0.0, 1.0, 65.42, 0.0, 23878.97]",0.7945,90427.29,2691.74,419.29,40155.86,5004,133274.88,23.05,23.05,0,1,65.42,0,23878.97,210,59262,16786,76048,12600,2305,7506,22411,48094,236980.29,3777.384952,6825.500037,3878.490009,5643.573299,3754.025,5477.208181,7985.835043,2559.803406,3668.322645,900.966,11266.61723,16426.86268,5265.515605,7545.73968,1853.287062,862.47953,10293.228,42358.02226,11155.70753,194622.2677,700.0800998,740.2085441,29029.20336,42324.92573,13566.95805,19442.11002,4775.1198,2222.237,26521.2,109138.317,28743.437,127841.973,459.8632124,563.2568707,41467.94314,60460.75711,19380.27158,27772.87074,6821.213586,3174.44459,37885.284,155903.0562,41059.72859,81077.23384,291.644726,439.3415915
-13.48570875,25.89318951,,Zambia,3619,North-Western,Kasempa,0.02,299,0,2,297,96,426,609,0.02,0,6.681,Kasempa,236.009,0,0,-0.17,0,"maize, sorghum, soybean, groundnut, other_pulses",32432,22994,332,0,No,0.727,0.855,1.051,5.819,0,0,299,65.749,0.22,9.324,179282.6,4.52,1.15,46.56,Reserved,"0,0,0,0","0,0,0,0",0,low,3.171340616,2006.690999,POINT (25.893189507007 -13.485708748313),5,1,1.090194625,395,277,0,23,23,100,131,"[0.8844, 82155.49, 2057.75, 415.59, 40011.41, 4986.0, 125032.26, 16.57, 15.71, 0.857, 0.986, 55.14, 92.31, 20124.95]",0.8844,82155.49,2057.75,415.59,40011.41,4986,125032.26,16.57,15.71,0.857,0.986,55.14,92.31,20124.95,233,65752.6,18648,84400.6,13980,1657,7479,23116,47921,237593.09,3777.384952,6825.500037,3878.490009,5643.573299,0,5477.208181,7985.835043,2559.803406,3668.322645,0,11266.61723,16426.86268,5265.515605,7545.73968,0,854.86863,10256.202,40504.7352,11111.07063,197088.3548,711.5103061,751.6224745,29029.20336,42324.92573,13566.95805,19442.11002,0,2202.627,26425.8,104363.1972,28628.427,133229.8928,480.9743424,584.3260644,41467.94314,60460.75711,19380.27158,27772.87074,0,3146.43189,37749.006,149081.8426,40895.43789,88511.24743,319.5351893,467.1721492
-10.93606694,30.09213615,Chaba,Zambia,56,Northern,Chilubi,0.02,423,1,2,420,48,766,861,0.02,0,137.209,Mansa,107.98,0,0,-0.57,0,"cassava, maize, groundnut, other_pulses, rice",90287,20451,502,0,No,2.31,0.561,44.391,76.682,79.527,44.391,423,93.54,0.221,12.333,243768.9,4.56,10.93,3.59,Operational,"0,0,0,0","0,0,0,0",0,low,1.248513062,2053.23124,POINT (30.0921361547256 -10.9360669397969),6,1,1.03550838,471,330,1,27,27,119,156,"[0.805, 104972.74, 3177.83, 495.0, 47667.02, 5940.0, 155817.6, 27.22, 27.22, 0.0, 1.0, 75.49, 0.0, 27552.7]",0.805,104972.74,3177.83,495,47667.02,5940,155817.6,27.22,27.22,0,1,75.49,0,27552.7,308,86917.6,24666,111583.6,18480,2722,8910,30112,57090,303758.34,4498.259943,8122.345044,4553.01001,6625.064308,3754.025,6522.476918,9503.143701,3004.986607,4306.2918,900.966,13416.73502,19547.96659,6181.25745,8858.042233,1853.287062,1018.215,12218.58,49857.28836,13236.795,253901.0516,769.3971262,809.5086262,34569.12766,50366.66162,15926.42902,22823.34654,4775.1198,2623.5,31482,128460.6846,34105.5,175297.6554,531.2050163,634.5550163,49381.67274,71948.30096,22750.7536,32602.93522,6821.213586,3747.645,44971.74,183504.8761,48719.385,120253.4639,364.404436,512.038936
-11.09688236,30.21700477,,Zambia,24482,Northern,Chilubi,0.03,256,0,3,253,26,400,521,0.03,12.814,146.411,Kasama,95.447,0,0,-0.4,0,,,,,0,No,17.084,0.813,63.1,80.484,95.776,62.881,256,56.851,0.222,5.844,128898.4,4.59,10.46,13.13,Reserved,"0,0,0,0","0,0,0,0",0,low,1.979772831,2063.05443,POINT (30.2170047729455 -11.0968823570155),7,1,1.056305799,282,198,0,16,16,72,94,"[0.8833, 58073.43, 1403.09, 294.02, 28600.21, 3564.0, 88414.39, 11.52, 11.11, 0.404, 0.991, 39.04, 39.83, 14248.89]",0.8833,58073.43,1403.09,294.02,28600.21,3564,88414.39,11.52,11.11,0.404,0.991,39.04,39.83,14248.89,146,41201.2,11688,52889.2,8760,1152,5346,15258,34254,160474.63,2710.489966,4914.360026,2698.080006,3925.964034,0,3930.21045,5749.801231,1780.732804,2551.876622,0,8084.442896,11827.34113,3662.967378,5249.210212,0,604.79914,7331.148,28823.96162,7935.94714,131650.6684,664.9023656,704.9829067,20830.11539,30473.94652,9437.883861,13524.9461,0,1558.306,18889.2,74266.89187,20447.506,86207.73813,435.3926168,538.6628491,29755.62332,43531.74512,13481.92806,19320.25791,0,2226.02542,26983.044,106089.5544,29209.06942,54385.0756,274.672099,422.1926516
-9.955221506,29.9635948,,Zambia,16334,Northern,Lunte,0.02,140,1,2,137,11,249,285,0.02,3.619,65.94,Mporokoso,140.188,0,0,-0.71,0,"maize, cassava, other_pulses, groundnut, small_millet",74713,21053,339,0,No,10.65,1.325,79.475,31.979,28.779,79.472,140,32.129,0.229,4.132,81258.4,4.42,31.73,47.9,Construction license,"0,0,0,0","0,0,0,0",0,low,1.848558897,1968.787399,POINT (29.9635947957455 -9.955221505833199),8,1,1.052574005,151,106,0,9,9,39,49,"[0.8813, 31844.83, 797.57, 161.08, 15311.23, 1908.0, 48293.52, 6.42, 6.09, 0.332, 0.984, 21.37, 40.24, 7800.88]",0.8813,31844.83,797.57,161.08,15311.23,1908,48293.52,6.42,6.09,0.332,0.984,21.37,40.24,7800.88,103,29066.6,8264,37330.6,6180,642,2862,9684,18338,97197.43,1412.914982,2661.945014,1517.670003,2208.354769,0,2048.726724,3114.475667,1001.662202,1435.4306,0,4214.230871,6406.476446,2060.41915,2952.680744,0,331.34156,3924.756,15633.80721,4256.09756,81563.62279,769.4681395,809.6200033,10858.25164,16506.72103,5308.809672,7607.78218,0,853.724,10112.4,40281.56452,10966.124,56915.86548,536.9421271,640.3961271,15510.91003,23579.69527,7583.584533,10867.64507,0,1219.53668,14445.468,57541.83491,15665.00468,39655.59509,374.1093877,521.8924507
-12.40213477,33.32568028,Mwase Lundazi,Zambia,7316,Eastern,Lundazi,0.06,105,0,1,104,42,201,214,0.06,0,19.536,Lundazi,158.626,0,0,-0.4,0,"maize, cotton, groundnut, soybean, sunflower",542313,23469,435,14.421,Yes,0,0.283,0.649,17.844,160.338,0.649,105,23.218,0.221,1.909,47259.7,4.41,1.55,30.39,Construction license,"0,0,0,0","0,0,0,0",0,low,1.011649852,1969.410787,POINT (33.3256802752514 -12.4021347745521),9,1,1.028771863,147,103,0,9,9,38,47,"[0.8777, 31334.24, 785.11, 158.57, 14877.89, 1854.0, 47319.84, 6.32, 5.99, 0.327, 0.984, 21.03, 39.08, 7674.96]",0.8777,31334.24,785.11,158.57,14877.89,1854,47319.84,6.32,5.99,0.327,0.984,21.03,39.08,7674.96,48,13545.6,3818,17363.6,2880,632,2781,6293,17819,72809.84,1355.244983,2593.690014,1517.670003,2208.354769,0,1965.105225,3034.617316,1001.662202,1435.4306,0,4042.221448,6242.20782,2060.41915,2952.680744,0,326.17849,3813.678,15297.52916,4139.85649,57512.31084,558.3719499,598.5647313,10415.05769,16083.47178,5308.809672,7607.78218,0,840.421,9826.2,39415.12132,10666.621,33394.71868,324.2205697,427.7799969,14877.81166,22975.0877,7583.584533,10867.64507,0,1200.53347,14036.634,56304.12897,15237.16747,16505.71103,160.2496217,308.1832864
-10.43846374,32.05831749,,Zambia,9657,Muchinga,Chinsali,0.03,105,0,1,104,24,155,214,0.03,0,12.504,Chinsali,84.04,0,0,-0.57,0,"maize, groundnut, cassava, rice, other_pulses",93842,24237,466,0,No,9.293,1.858,61.881,14.252,14.103,61.881,105,23.218,0.221,2.409,53010.1,4.51,3.72,46.28,Reserved,"0,0,0,0","0,0,0,0",0,low,0.459242628,2030.129883,POINT (32.0583174946628 -10.4384637400305),10,1,1.013061106,129,91,0,8,8,33,42,"[0.8766, 27665.64, 693.53, 140.07, 13144.54, 1638.0, 41725.13, 5.58, 5.29, 0.289, 0.988, 18.56, 27.24, 6775.51]",0.8766,27665.64,693.53,140.07,13144.54,1638,41725.13,5.58,5.29,0.289,0.988,18.56,27.24,6775.51,60,16932,4818,21750,3600,558,2457,6615,15743,71773.64,1211.069985,2252.415012,1349.040003,1962.982017,0,1756.051478,2635.325564,890.366402,1275.938311,0,3612.19789,5420.864685,1831.483689,2624.605106,0,288.12399,3369.366,13489.15137,3657.48999,58284.48863,640.488886,680.6810837,9307.072832,13967.22549,4718.94193,6762.473049,0,742.371,8681.4,34755.7133,9423.771,37017.9267,406.7904033,510.3483264,13295.06574,19952.04985,6740.964029,9660.128954,0,1060.46997,12401.298,49648.20857,13461.76797,22125.43143,243.1366091,391.0681253
-13.40577776,29.87331628,,Zambia,9039,Central,Serenje,0.02,105,0,1,104,16,221,214,0.02,0,138.994,Bwana Mkubwa,0.807,0,0,-0.29,0,"maize, vegetables, groundnut, sweet_potato, soybean",111488,35947,562,0,No,5.476,1.185,9.251,19.799,4.606,8.335,105,23.218,0.221,2.651,55789.9,4.44,9.99,59.26,Operational,"0,0,0,0","0,0,0,0",0,low,1.575641517,1952.875948,POINT (29.8733162750328 -13.4057777615426),11,1,1.044812088,121,85,0,7,7,31,40,"[0.8883, 25517.6, 635.75, 127.3, 12277.87, 1530.0, 38485.74, 5.34, 5.25, 0.087, 0.997, 16.9, 6.5, 6167.32]",0.8883,25517.6,635.75,127.3,12277.87,1530,38485.74,5.34,5.25,0.087,0.997,16.9,6.5,6167.32,66,18625.2,5302,23927.2,3960,534,2295,6789,14705,70938.8,1153.399985,2115.905011,1180.410003,1717.609265,0,1672.429979,2475.608863,779.0706017,1116.446022,0,3440.188466,5092.327432,1602.548228,2296.529468,0,261.8561,3147.21,12431.59359,3409.0661,58507.20641,688.3200754,728.4267354,8863.878888,13120.72698,4129.074189,5917.163918,0,674.69,8109,32030.84397,8783.69,38907.95603,457.7406592,561.0781886,12661.96737,18742.8347,5898.343526,8452.612835,0,963.7883,11583.63,45755.75843,12547.4183,25183.04157,296.2710772,443.8877631
